Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-235.6461	-351.1885	115.5424	1.376955	4.615574	0.4241369
6	-232.413	-347.2852	114.8722	1.479914	6.850067	0.5911107
12	-229.3397	-345.473	116.1333	1.340197	3.026165	0.6067688
18	-239.3956	-356.3125	116.9169	1.366639	0.8463664	1.291342
24	-241.3996	-357.5348	116.1352	1.098274	3.255524	0.8459984
30	-245.7521	-362.9224	117.1703	1.274124	1.347825	0.4966455
36	-245.8295	-362.4071	116.5777	1.274124	2.241128	0.5880087
42	-246.0599	-360.9843	114.9244	1.381138	7.134911	0.5213111
48	-242.0497	-357.2062	115.1564	1.120903	7.134911	0.6304362
54	-246.9618	-362.0804	115.1186	1.120903	5.448427	1.143687
60	-243.9847	-358.7851	114.8004	1.202964	6.416277	1.143687
66	-245.4311	-361.3209	115.8898	1.150138	4.082459	0.693867
72	-238.148	-353.6978	115.5498	0.708785	3.716384	1.549024
78	-241.0541	-356.3459	115.2918	0.4942494	3.716384	1.882873
84	-236.7925	-352.2728	115.4803	0.5217417	4.733186	1.495431
90	-240.9944	-354.7462	113.7518	0.6272199	12.90179	1.573235
96	-236.2693	-352.0766	115.8073	0.6069053	2.992851	1.640892
102	-241.1576	-356.5733	115.4157	0.8750704	5.847984	1.000444
108	-240.3318	-355.726	115.3943	0.7680311	6.000985	1.087954
114	-235.1467	-351.5612	116.4146	0.777851	2.961996	1.021306
120	-246.4697	-362.7109	116.2412	1.51523	2.381633	0.3780286
126	-247.7834	-363.937	116.1535	1.872584	1.828454	0.3267177
132	-242.6484	-359.1653	116.5169	1.563884	1.828454	0.6184262
138	-244.4575	-361.0789	116.6214	1.156181	2.407456	0.4741051
144	-237.3914	-352.6258	115.2344	0.7926322	5.553149	1.300647
150	-251.7407	-365.7787	114.0381	0.0771653	10.11878	2.027388
156	-245.1832	-360.6526	115.4695	0.06466092	2.473451	2.387621
162	-243.2486	-358.5758	115.3272	0.0962675	5.523952	1.756414
168	-239.7309	-354.4418	114.711	0.1604449	4.796468	2.257432
174	-235.9384	-350.3972	114.4588	0.3243211	7.237335	1.925027
180	-242.4649	-356.56	114.0951	0.5370548	6.441018	2.139659
186	-239.4856	-355.4938	116.0082	1.243453	3.359025	0.7686035
192	-235.8962	-351.7215	115.8253	1.607242	2.987802	0.3283134
198	-234.4915	-350.9192	116.4277	1.684568	1.761193	0.377981
204	-237.2444	-353.2136	115.9692	1.684568	2.446908	0.3041692
210	-236.9029	-352.3826	115.4797	1.684568	3.706903	0.3406532
216	-239.3555	-354.3136	114.9581	2.035928	3.797493	0.2451159
222	-243.8058	-357.8485	114.0427	1.822503	8.574725	0.2661491
228	-235.0323	-351.5898	116.5575	1.467372	1.959313	0.4961983
234	-231.4333	-347.513	116.0797	1.319946	3.205184	0.6069826
240	-232.7542	-349.4581	116.7039	1.319946	1.740033	0.8105262
246	-238.2109	-352.9931	114.7822	1.369663	7.378945	0.7642811
252	-227.2981	-343.9683	116.6702	0.9065098	2.504962	0.8306406
258	-229.5935	-344.6468	115.0533	1.160348	6.42321	0.9393562
264	-232.8755	-349.2798	116.4042	0.8853505	2.542234	1.110101
270	-235.2388	-351.9243	116.6856	0.918738	1.953288	1.11157
276	-235.4102	-350.9226	115.5124	0.7310339	2.79021	1.82335
282	-241.3022	-357.5343	116.2321	0.5237523	3.279886	1.291506
288	-235.9498	-351.1688	115.219	0.3882144	2.968297	2.195115
294	-244.5568	-359.8253	115.2685	0.8625649	1.775989	2.257376
300	-239.4271	-356.0532	116.6261	0.8530491	1.360235	1.540236
306	-239.2596	-354.7637	115.5041	0.9679746	4.014834	1.304873
312	-232.4169	-347.5504	115.1335	0.6597677	4.014834	1.807042
318	-241.3805	-357.1743	115.7938	1.143523	4.014834	0.8690047
324	-238.01	-352.053	114.043	0.9928253	10.82142	1.286385
