Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-318.5974	-430.8907	112.2933	0.9604774	29.15664	1.349197
6	-337.6464	-452.7699	115.1236	0.7781041	5.81021	1.349197
12	-342.722	-458.202	115.48	1.023993	0.94404	2.447808
18	-364.8686	-478.8662	113.9977	0.6510222	3.26919	2.719508
24	-387.2428	-501.888	114.6452	0.7298559	5.42033	1.808775
30	-404.0918	-519.0494	114.9577	1.164812	5.405286	1.25382
36	-433.5665	-546.1326	112.5661	1.408969	28.82989	0.5526183
42	-408.2878	-523.3749	115.0871	1.194079	1.596615	2.238228
48	-429.7107	-544.6736	114.9629	1.079663	4.89408	1.42929
54	-394.6142	-509.2225	114.6083	0.9231786	7.367417	1.365994
60	-419.0747	-532.7826	113.7079	1.525385	7.367417	1.591499
66	-411.7501	-526.7166	114.9665	2.272773	3.559073	0.6628896
72	-401.4455	-518.4012	116.9557	1.859893	0.5321778	1.195681
78	-378.7012	-491.3535	112.6523	1.448828	20.18224	1.195681
84	-404.8024	-517.012	112.2096	1.169325	21.81266	1.649199
90	-382.512	-499.1999	116.688	1.476894	1.339688	0.9790028
96	-370.7856	-487.5717	116.7861	1.254866	1.182366	1.214925
102	-391.2475	-505.7559	114.5084	1.242255	9.552363	0.7725473
108	-359.4278	-475.6172	116.1894	1.065633	2.56709	1.130425
114	-372.5633	-485.279	112.7156	0.9051022	18.60534	1.675377
120	-384.1908	-500.0345	115.8438	1.718026	0.2640726	2.444592
126	-358.7626	-474.8943	116.1317	1.228436	0.5124476	2.256858
132	-373.354	-489.4315	116.0775	0.7773703	4.245471	0.8769509
138	-372.1069	-487.6617	115.5548	1.428814	0.5493774	2.458648
144	-355.7176	-469.6243	113.9067	2.007449	8.838729	0.3384114
150	-366.7375	-483.8731	117.1356	2.007449	0.6556566	0.57748
156	-381.4854	-498.1475	116.6621	2.849492	0.3412576	0.2604762
162	-384.2312	-500.4606	116.2294	2.849492	0.5366861	0.2247598
168	-383.3343	-499.0087	115.6744	3.256042	0.5366861	0.1756061
